Year,Month,Day,Hour,Minute,Second,Longitude,Latitude,Code,Depth,Code,Mb,code,Ms1,Code,Ms2,Code,Mw,Code,MD,Code,ML,Code,Mweq,Code
1927,1,1,9,13,32.2,-115.206,29.359,0,15.0,0,0.0,0,0.0,0,0.0,0,6.0,159,0.0,0,0.0,0,6.0,164
1927,1,19,1,16,57.2,-102.436,18.088,0,35.0,0,0.0,0,0.0,0,0.0,0,5.7,159,0.0,0,0.0,0,5.7,164
1927,2,24,4,14,12.3,-92.165,14.581,0,35.0,0,0.0,0,0.0,0,0.0,0,5.9,159,0.0,0,0.0,0,5.9,164
1927,10,2,4,47,47.8,-87.716,13.553,0,15.0,0,0.0,0,0.0,0,0,0,6.1,159,0.0,0,0.0,0,6.1,164
1928,2,10,4,39,37.5,-97.990,18.260,27; 28,84.0,27,0.0,0,6.5,27; 28,0.0,0,0.0,0,0.0,0,0.0,0,6.7,165
1928,3,22,4,17,30.0,-95.450,16.230,2; 7; 15,Sh,7; 15; 4,0.0,0,7.5,12; 2; 16; 13,7.7,7; 4,7.6,43,0.0,0,0.0,0,7.6,164
1928,3,27,5,9,39.4,-91.601,16.967,0,15.0,0,0.0,0,0.0,0,0.0,0,5.7,159,0.0,0,0.0,0,5.7,164
1928,4,17,3,25,27.5,-96.440,17.690,28,115.0,28,0.0,0,6.7,47,0.0,0,6.5,91,0.0,0,0.0,0,6.5,164
1928,6,17,3,19,28.2,-96.700,16.330,2; 7,25.0,7; 20,0.0,0,8.0,7; 4,7.8,12; 2; 103,8.0,106,0.0,0,0.0,0,8.0,164
1928,8,4,18,28,17.0,-97.610,16.830,2; 7,Sh,7,0.0,0,7.4,12; 2; 16; 7; 13,7.6,4,7.2,43,0.0,0,0.0,0,7.2,164
1928,9,1,23,53,51.3,-95.803,14.865,0,15.0,0,0.0,0,0.0,0,0.0,0,6.1,159,0.0,0,0.0,0,6.1,164
1928,10,9,3,1,8.0,-97.300,16.300,2; 7; 15,33.0,7; 15,0.0,0,7.6,12; 2; 16; 13,7.8,7; 4,7.5,43,0.0,0,0.0,0,7.5,164
1928,11,1,4,12,54.5,-105.658,27.106,29,10.0,89,0.0,0,0.0,0,0.0,0,6.5,91,0.0,0,0.0,0,6.5,164
1928,11,28,1,23,8.3,-102.796,17.683,0,35.0,0,0.0,0,0.0,0,0.0,0,5.9,159,0.0,0,0.0,0,5.9,164
1929,1,24,20,36,45.0,-90.625,13.021,0,15.0,0,0.0,0,7.0,131,0,0,6.9,43,0.0,0,0.0,0,6.9,164
1929,1,31,18,5,42.6,-91.705,13.223,0,30.0,0,0.0,0,0.0,0,0.0,0,6.0,159,0.0,0,0.0,0,6.0,164
1929,2,10,15,39,4.0,-91.201,13.900,9,Sh,9,0.0,0,6.6,9,0.0,0,6.7,43,0.0,0,0.0,0,6.7,164
1929,2,13,22,13,41.2,-92.568,14.728,0,30.0,0,0.0,0,0.0,0,0.0,0,6.0,159,0.0,0,0.0,0,6.0,164
1929,4,7,19,32,13.7,-95.081,14.793,0,15.0,0,0.0,0,0.0,0,0.0,0,6.2,159,0.0,0,0.0,0,6.2,164
1929,5,27,23,56,2.7,-93.536,13.159,0,15.0,0,0.0,0,0.0,0,0.0,0,5.9,159,0.0,0,0.0,0,5.9,164
1929,7,30,7,43,49.0,-92.336,13.808,0,45.0,0,0.0,0,0.0,0,0.0,0,5.8,159,0.0,0,0.0,0,5.8,164
1929,8,17,23,40,36.0,-99.000,16.300,20; 21,0.0,0,0.0,0,7.0,20; 21,0.0,0,0.0,0,0.0,0,0.0,0,7.2,165
1929,9,27,23,16,0.0,-110.500,25.000,0,0.0,0,0.0,0,6.0,132,0.0,0,0.0,0,0.0,0,0.0,0,6.0,165
1929,9,27,23,16,16.5,-109.060,24.993,0,15.0,0,0.0,0,0.0,0,0.0,0,6.1,159,0.0,0,0.0,0,6.1,164
1930,2,26,2,29,20.6,-116.011,30.192,0,15.0,0,0.0,0,0.0,0,0.0,0,5.8,159,0.0,0,0.0,0,5.8,164
1930,5,10,22,11,10.8,-106.938,23.412,0,15.0,0,0.0,0,0.0,0,0.0,0,5.9,159,0.0,0,0.0,0,5.9,164
1930,7,14,22,40,39.0,-90.079,14.097,0,15.0,0,0.0,0,7.0,131,0,0,6.9,43,0.0,0,0.0,0,6.9,164
1931,1,2,9,49,2.0,-108.033,18.117,30,20.0,89,0.0,0,6.7,89,0.0,0,6.8,91,0.0,0,0.0,0,6.8,164
1931,1,15,1,50,40.2,-96.640,16.100,2; 7; 15; 31,40.0,7; 15; 32; 13,0.0,0,8.0,7,7.8,12; 27; 13; 102,7.6,43,0.0,0,0.0,0,7.6,164
1931,1,16,16,52,3.0,-85.000,15.750,0,35.0,0,0.0,0,5.6,129,0,0,0.0,0,0.0,0,0.0,0,5.7,165
1931,1,16,19,19,53.1,-96.370,16.440,7,Sh,7,0.0,0,6.5,7; 105,0.0,0,6.3,163,0.0,0,0.0,0,6.3,164
1931,1,25,12,34,0.0,-105.000,15.000,0,0.0,0,0.0,0,6.0,132,0.0,0,0.0,0,0.0,0,0.0,0,6.0,165
1931,2,7,3,30,35.0,-87.000,13.000,0,100.0,0,0.0,0,5.8,129,0,0,0.0,0,0.0,0,0.0,0,5.8,165
1931,3,31,16,2,21.0,-85.750,13.250,0,35.0,0,0.0,0,5.6,129,0,0,0.0,0,0.0,0,0.0,0,5.7,165
1931,4,1,13,13,50.0,-91.877,13.762,0,35.0,0,0.0,0,0.0,0,0.0,0,5.8,159,0.0,0,0.0,0,5.8,164
1931,4,19,2,0,33.1,-108.627,20.720,0,15.0,0,0.0,0,0.0,0,0.0,0,6.0,159,0.0,0,0.0,0,6.0,164
1931,5,9,10,34,0.0,-109.250,23.500,0,0.0,0,0.0,0,5.7,132,0.0,0,0.0,0,0.0,0,0.0,0,5.8,165
