Year,Month,Day,Hour,Minute,Second,Magnitude,Longitude,Latitude,Depth
1631.0,2.0,10.0,,,0.0,5.7,41.7,11.2,
1631.0,7.0,21.0,,,,6.0,104.3,35.3,
1631.0,7.0,,,,,5.0,107.8,35.5,
1631.0,8.0,14.0,,,,6.5,111.7,29.3,
1633.0,3.0,1.0,,,,7.1,139.2,35.2,
1633.0,11.0,5.0,,,,6.9,21.0,37.5,
1634.0,1.0,,,,,6.0,105.3,34.1,
1634.0,3.0,,,,,5.5,115.1,30.7,
1634.0,12.0,,,,,5.5,107.6,35.1,
1636.0,9.0,30.0,18.0,30.0,,7.2,20.3,38.1,
1636.0,12.0,18.0,14.0,,0.0,5.7,-2.2,5.1,
1638.0,3.0,27.0,15.0,5.0,,7.0,16.283,39.033,
1640.0,2.0,27.0,,,0.0,5.1,46.3,38.2,15.0
1640.0,7.0,31.0,,,,6.5,140.68,42.07,
1641.0,1.0,10.0,,,,7.6,-78.5,-1.5,
1641.0,11.0,26.0,,,,5.8,116.5,23.5,
1642.0,6.0,30.0,,,,6.0,111.1,35.1,
1642.0,9.0,4.0,,,,6.7,140.6,35.2,
1643.0,7.0,25.0,,,,6.5,129.5,35.5,
1644.0,1.0,16.0,10.0,0.0,,6.9,-72.65,7.38,
1644.0,10.0,18.0,,,,6.9,140.1,39.4,
1645.0,2.0,19.0,,,,7.5,-78.6,-1.7,
1645.0,11.0,30.0,12.0,,,8.0,121.0,14.4,
1646.0,4.0,5.0,,,,5.2,10.317,43.55,
1646.0,6.0,9.0,,,,7.6,141.7,37.7,
1647.0,5.0,14.0,2.0,30.0,,8.5,-70.6,-33.4,
1647.0,6.0,16.0,,,0.0,6.4,140.0,36.0,
1649.0,1.0,,,,,5.0,15.55,38.183,
1649.0,12.0,9.0,,,,6.5,126.0,35.5,
1650.0,3.0,31.0,19.0,,,8.1,-72.0,-13.5,
1650.0,4.0,19.0,,,,7.0,33.3,44.7,
1652.0,6.0,8.0,,,,5.8,47.7,42.1,10.0
1652.0,7.0,13.0,,,,6.8,100.5,25.4,
1653.0,2.0,23.0,,,,7.5,28.2,38.2,
1654.0,7.0,21.0,,,,8.0,105.5,34.3,
1655.0,11.0,13.0,19.0,45.0,,7.7,-77.6,-12.3,30.0
1657.0,3.0,15.0,23.0,30.0,,8.0,-73.03,-36.83,
1657.0,4.0,21.0,,,,6.0,103.6,31.5,
1658.0,2.0,3.0,,,,6.0,115.7,39.4,
1660.0,10.0,27.0,14.0,,,7.7,-78.5,-0.2,
1661.0,1.0,8.0,,,,6.0,120.2,23.0,
1662.0,1.0,1.0,,,,5.4,-78.4,-0.2,
1662.0,10.0,30.0,,,,7.6,132.0,31.7,
1664.0,5.0,12.0,9.0,15.0,,7.3,-75.8,-14.1,15.0
1664.0,8.0,12.0,,,0.0,6.3,127.1,35.5,
1664.0,,,,,,5.5,112.7,38.7,
1666.0,5.0,31.0,,,,6.4,136.8,35.0,
1667.0,4.0,6.0,7.0,10.0,,7.2,18.1,42.6,
1667.0,11.0,30.0,,,,6.6,27.1,38.4,
1667.0,11.0,,,,,6.9,48.6,40.6,12.0
1667.0,,,,,,6.7,125.5,25.0,
1668.0,7.0,10.0,,,,6.6,27.1,38.4,
1668.0,7.0,25.0,,,,8.5,118.6,35.3,
1668.0,7.0,31.0,,,,6.4,126.0,38.0,
1669.0,1.0,4.0,,,,5.7,48.6,40.6,5.0
1670.0,8.0,19.0,,,,6.8,122.5,33.0,
1670.0,10.0,30.0,,,0.0,6.3,126.5,35.9,
1670.0,12.0,17.0,,,,6.4,141.0,35.5,
1671.0,2.0,27.0,,,,6.9,134.7,33.4,
1672.0,4.0,14.0,15.0,45.0,,5.6,12.583,43.933,
1673.0,7.0,30.0,,,,6.6,59.3,36.3,
1674.0,2.0,17.0,11.0,30.0,,6.8,127.75,-3.75,40.0
1674.0,8.0,29.0,,,,7.7,-79.0,-1.7,
1677.0,4.0,13.0,,,,8.1,144.0,40.0,
1677.0,9.0,,,,,5.5,104.8,33.4,
1677.0,11.0,4.0,,,,7.4,141.5,35.0,
1678.0,6.0,18.0,1.0,45.0,,8.4,-79.0,-9.0,40.0
1678.0,10.0,2.0,,,0.0,7.4,142.0,38.6,
1679.0,6.0,4.0,,,0.0,5.9,44.7,40.1,15.0
1679.0,9.0,2.0,,,,8.0,117.0,40.0,
1679.0,12.0,16.0,,,,5.0,119.5,31.4,
1680.0,9.0,9.0,,,,6.8,101.5,25.0,
1680.0,10.0,9.0,7.0,0.0,,6.8,-4.6,36.8,
1681.0,3.0,10.0,,,,7.5,-70.35,-18.5,
1683.0,11.0,22.0,,,,7.0,112.7,38.7,
1687.0,7.0,12.0,,,,7.5,-70.7,-32.8,
1687.0,10.0,20.0,10.0,30.0,,8.5,-76.5,-13.5,30.0
1687.0,11.0,22.0,,,,7.3,-78.6,-1.3,
1688.0,6.0,14.0,,,,6.3,99.9,26.5,
1688.0,7.0,10.0,11.0,45.0,,7.0,26.9,38.4,
1688.0,7.0,12.0,,,0.0,7.5,26.9,38.4,
1688.0,,,,,,5.3,44.7,43.7,15.0
1689.0,3.0,,,,,6.8,-78.9,-2.2,5.0
1690.0,4.0,16.0,,,,8.0,-61.5,17.5,
1690.0,12.0,23.0,0.0,20.0,,5.6,13.592,43.547,
1692.0,9.0,13.0,11.0,,0.0,7.0,-64.8,-25.4,
1693.0,1.0,9.0,21.0,,,6.0,15.167,37.333,
1693.0,1.0,11.0,13.0,30.0,,7.4,15.017,37.133,
1694.0,4.0,,,,,5.5,121.5,25.0,
1695.0,2.0,25.0,12.0,30.0,0.0,6.2,12.2,45.4,
1695.0,5.0,18.0,,,,8.0,111.5,36.0,
1698.0,6.0,20.0,6.0,,,7.7,-78.7,-1.2,
1698.0,12.0,22.0,,,,6.4,131.7,33.3,
1699.0,2.0,11.0,,,,5.0,15.3,45.6,6.0
1699.0,7.0,14.0,9.0,,,7.8,-76.6,-12.1,40.0
1700.0,1.0,27.0,5.0,0.0,,9.0,-125.0,45.0,
1700.0,4.0,16.0,,,,7.0,129.3,34.2,
1700.0,9.0,12.0,,,,6.5,126.5,36.5,
1703.0,2.0,2.0,1.0,11.0,5.0,6.7,13.2,42.467,
1703.0,7.0,2.0,,,,3.2,8.917,44.4,
1703.0,12.0,30.0,17.0,,,8.2,140.0,35.0,
1704.0,9.0,18.0,,,,5.5,116.5,38.0,
1704.0,9.0,28.0,,,,6.0,106.8,34.9,
1707.0,9.0,17.0,16.0,48.0,,5.8,-72.0,-13.0,10.0
1707.0,10.0,28.0,4.0,,,8.4,137.8,34.1,
1707.0,10.0,28.0,5.0,,,8.4,134.8,33.2,
1708.0,2.0,13.0,,,,7.0,137.0,34.0,
1709.0,10.0,14.0,,,,7.5,105.3,37.4,
1710.0,4.0,16.0,,,,5.5,111.3,27.8,
1711.0,9.0,5.0,,,,7.0,129.0,-4.0,
1711.0,12.0,20.0,,,,6.7,134.0,34.3,
1713.0,2.0,26.0,,,,6.8,103.2,25.4,
1713.0,9.0,4.0,,,,6.5,103.7,32.0,
1714.0,7.0,27.0,,,,6.3,21.7,38.2,
1715.0,3.0,8.0,,,,6.6,43.9,38.7,
1715.0,8.0,23.0,0.0,,,7.5,-70.8,-17.3,80.0
1715.0,12.0,29.0,,,,6.6,131.7,33.3,
1716.0,2.0,6.0,,,,8.8,-71.2,-17.2,40.0
1716.0,2.0,11.0,1.0,,,8.6,-76.0,-13.7,50.0
1716.0,,,,,,7.5,80.3,41.2,30.0
1717.0,5.0,13.0,,,0.0,7.6,142.7,39.0,
1718.0,6.0,19.0,,,,7.5,105.2,35.0,
1720.0,7.0,12.0,,,,6.8,115.5,40.4,
1720.0,10.0,31.0,,,,5.5,120.3,20.3,
1721.0,1.0,5.0,,,,6.0,120.3,23.0,
1721.0,4.0,26.0,3.0,,,7.7,46.7,37.9,
1723.0,2.0,18.0,2.0,,,7.0,20.5,38.5,
1725.0,1.0,7.0,4.0,25.0,,7.7,-79.0,-9.0,60.0
1725.0,1.0,8.0,13.0,0.0,,7.6,-70.8,-16.4,3.0
1725.0,1.0,8.0,,,,6.0,103.1,25.1,
1725.0,2.0,1.0,11.0,,0.0,8.2,118.5,56.5,50.0
1725.0,8.0,2.0,,,,5.5,101.9,30.1,
1726.0,4.0,1.0,,,,6.6,136.0,36.3,
1727.0,6.0,20.0,,,,5.7,127.3,39.5,
1727.0,7.0,4.0,,,,5.2,13.0,37.5,
1730.0,7.0,8.0,8.0,45.0,,9.1,-71.5,-32.5,
1730.0,9.0,30.0,,,,6.5,116.2,40.0,
1730.0,11.0,10.0,,,,7.6,142.2,36.2,
1731.0,3.0,20.0,2.0,30.0,,6.3,15.5,41.5,
1731.0,10.0,7.0,,,,6.6,140.6,37.9,
1732.0,12.0,4.0,,,,6.5,140.8,35.2,
1733.0,8.0,2.0,,,,7.5,103.1,26.2,
1735.0,2.0,2.0,18.0,,,4.5,-76.5,2.6,20.0
1736.0,1.0,30.0,,,,6.0,120.3,23.1,
1737.0,11.0,4.0,8.0,,0.0,7.8,163.0,55.5,20.0
1737.0,12.0,17.0,,,0.0,7.5,157.0,50.0,50.0
1737.0,12.0,24.0,,,,8.0,-74.0,-43.0,
1738.0,3.0,30.0,,,,5.1,16.39,46.45,
1738.0,5.0,19.0,,,,5.5,104.2,33.2,
1738.0,7.0,19.0,,,,6.5,24.4,36.8,
