Year,Month,Day,Hour,Minute,Second,Magnitude,Longitude,Latitude,Depth
1757,10.0,4.0,,,,6.8,-90.75,14.5,
1759,11.0,25.0,,,,7.4,35.9,33.7,30.0
1760,7.0,11.0,,,,6.7,-76.0,19.9,30.0
1761,3.0,31.0,12.0,15.0,,7.5,-10.5,36.0,
1762,4.0,2.0,,,,8.8,93.5,20.0,
1762,10.0,31.0,14.0,,,7.0,138.7,38.1,
1763,1.0,29.0,18.0,,,7.7,142.5,41.0,
1763,3.0,11.0,12.0,,,7.3,142.0,41.0,
1763,3.0,15.0,14.0,,,7.0,142.0,41.0,
1763,9.0,12.0,9.0,,,7.0,130.0,-6.7,
1764,,,,,,6.8,-91.833,14.833,
1765,6.0,2.0,,,,6.9,-89.5,14.83,
1765,10.0,24.0,,,,7.9,-91.917,15.0,
1766,3.0,8.0,18.0,,,7.3,140.59,40.73,10.0
1766,5.0,22.0,,,,6.76,29.463,40.837,
1766,6.0,11.0,23.0,57.0,,7.5,-76.8,20.533,
1766,8.0,5.0,,,,7.08,27.108,40.665,
1766,10.0,21.0,4.0,30.0,,7.0,-62.5,11.0,85.0
1767,10.0,22.0,,,,7.0,139.05,35.13,
1769,8.0,29.0,15.0,,,7.8,132.1,33.0,
1770,,,,,,7.0,102.0,-5.3,
1770,6.0,3.0,,,,7.5,-72.86,18.5,
1771,4.0,24.0,8.0,,,7.4,124.3,24.0,
1772,6.0,3.0,,,,7.5,143.5,39.5,
1772,6.0,15.0,,,,7.0,-91.5,14.583,
1773,7.0,29.0,,,,7.5,-91.167,14.667,
1773,9.0,7.0,,,,6.8,-90.75,14.5,
1773,12.0,13.0,,,,7.1,-91.5,14.583,
1776,3.0,30.0,,,,7.2,-90.25,14.25,
1776,4.0,21.0,,,,7.7,-100.0,16.8,
1776,5.0,30.0,,,,7.9,-89.833,13.833,
1776,7.0,6.0,,,,6.8,-89.0,13.583,
1776,11.0,15.0,,,,7.0,-89.0,13.583,
1777,3.0,30.0,1.0,,,7.0,128.0,-4.0,
1780,1.0,8.0,24.0,,,7.7,46.0,38.2,
1780,1.0,19.0,,,,7.0,152.0,45.8,40.0
1780,1.0,22.0,7.0,39.0,,8.5,105.5,-8.6,
1780,5.0,31.0,,,,7.0,151.2,45.3,
1780,6.0,29.0,,,,7.5,151.0,46.0,40.0
1782,5.0,22.0,16.0,,,7.0,-69.2,-33.0,30.0
1782,8.0,23.0,,,,7.2,139.1,35.4,
1783,2.0,5.0,12.0,,,7.0,15.97,38.297,
1783,11.0,29.0,,,,6.6,-88.78,13.63,5.0
1784,5.0,13.0,12.0,36.0,,8.4,-72.0,-16.5,27.0
1784,7.0,18.0,,,,7.6,40.2,39.5,
1784,7.0,29.0,21.0,10.0,,6.75,-72.667,18.8,
1784,8.0,14.0,16.0,35.0,,7.1,-20.5,64.0,10.0
1785,1.0,6.0,,,,7.4,-89.7,15.5,5.0
1785,7.0,11.0,,,,6.9,-64.6,19.21,
1785,7.0,12.0,12.0,45.0,,7.0,-73.71,5.0,
1786,6.0,1.0,,,,7.75,102.0,29.9,
1786,6.0,10.0,,,,7.0,102.2,29.4,
1787,3.0,28.0,,,,8.6,-97.0,16.0,
1787,5.0,2.0,,,,6.9,-67.54,17.33,
1787,7.0,12.0,22.0,45.0,,7.4,122.25,11.05,
1789,5.0,11.0,1.0,,,7.0,134.3,33.7,
1789,5.0,28.0,,,,7.0,39.5,38.8,
1789,6.0,7.0,,,,7.0,102.9,31.0,
1790,4.0,6.0,19.0,29.0,,7.1,26.6,45.7,150.0
1790,10.0,9.0,1.0,15.0,,7.0,-0.6,35.7,
1790,12.0,2.0,1.0,,,7.5,162.0,54.0,20.0
1792,6.0,13.0,16.0,,,7.1,140.0,43.8,
1792,8.0,9.0,,,,7.0,120.6,23.6,
1792,8.0,22.0,18.0,,,8.4,162.0,54.0,40.0
1793,2.0,8.0,14.0,,,7.0,139.95,40.85,
1793,2.0,17.0,14.0,,,8.2,144.5,38.5,
1796,3.0,30.0,10.0,45.0,,7.5,-70.35,-27.35,
1796,4.0,26.0,,,,6.8,36.2,35.3,20.0
1797,2.0,4.0,12.0,45.0,,7.6,-78.6,-1.5,
1797,2.0,10.0,15.0,,,8.0,99.0,-2.0,
1799,8.0,27.0,,,,7.0,102.4,23.8,
1802,10.0,25.0,,,,6.7,-80.4,7.5,10.0
1802,10.0,26.0,10.0,55.0,,7.9,26.6,45.7,150.0
1803,9.0,1.0,1.0,30.0,,7.4,79.0,31.5,
1803,12.0,7.0,,,,7.1,-83.0,8.5,30.0
1804,,,,,,6.8,-92.667,16.5,
1804,7.0,10.0,22.0,,,7.0,139.95,39.05,
1805,6.0,16.0,,,,6.75,-74.75,5.22,
1806,3.0,25.0,,,,7.6,-103.41,20.215,
1806,6.0,11.0,,,,7.5,91.8,28.2,
1810,2.0,16.0,22.0,15.0,,7.5,25.6,35.5,90.0
1811,3.0,18.0,,,,6.75,120.8,24.8,
1811,12.0,16.0,8.0,15.0,,7.6,-89.96,36.0,
1811,12.0,16.0,14.0,15.0,,7.17,-90.0,36.0,
1812,1.0,23.0,15.0,,,7.5,-89.5,36.8,
1812,2.0,7.0,9.0,45.0,,7.8,-89.4,36.3,
1812,3.0,8.0,,,,8.0,83.5,43.7,
1812,3.0,26.0,20.0,7.0,,7.4,-68.95,10.2,
1812,3.0,26.0,20.0,7.0,,7.1,-67.1,10.6,
