Year,Month,Day,Hour,Minute,Second,Magnitude,Latitude,Longitude,Depth
2009,9,16,18,35,56,3.3,-2.002,29.007,10
2009,9,26,13,26,39,5.2,-7.53,30.45,23
2009,10,6,18,31,54,4.3,-4.0404,34.7854,22
2009,10,6,18,32,54,3.9,-3.8908,34.9639,22
2009,10,7,1,40,49,3.8,-3.531,34.7664,14.5
2009,10,7,1,41,23,4.1,-3.531,34.7664,14.5
2009,10,7,3,24,34,4.8,-3.942,34.775,10
2009,10,7,6,21,2,3.9,-6.867,35.8633,10
2009,10,7,6,41,15,4.2,-4.0593,34.8431,22
2009,10,7,6,53,25,3.4,-3.3856,34.7101,10
2009,10,7,6,54,3,4.3,-4.0057,34.8982,10
2009,10,7,13,55,35,3.5,-3.9978,34.706,10
2009,10,11,20,43,4,4.8,-4.004,34.8328,22
2009,10,11,21,22,50,4,-4.0078,34.7827,22
2009,10,11,21,28,59,3.6,-3.8182,34.8582,22
2009,10,12,0,47,48,3.9,-4.0015,34.7445,10
2009,10,12,2,0,9,4.1,-1.3724,29.301,10
2009,10,13,5,1,38,3.3,-4.429,30.793,10
2009,10,13,7,55,39,4.3,-4.003,34.7627,22
2009,10,13,10,28,51,3.2,-3.9943,34.7984,22
2009,10,13,13,2,40,4.5,-3.9777,34.7198,10
2009,10,14,5,38,2,4.1,-11.0739,34.3997,10
2009,10,14,18,11,2,3.8,-2.91,36.009,10
2009,10,14,22,10,10,3.4,-2.26,37.03,0
2009,10,15,5,13,42,4.7,-3.4157,35.0512,10
2009,10,16,1,10,5,4,-7.999,30.925,10
2009,10,16,22,10,13,3.1,-5.843,29.442,10
2009,10,17,9,0,54,4.6,-7.659,36.071,10
2009,10,18,1,8,57,4,-0.5223,29.8431,10
2009,10,19,14,31,11,4.6,-7.992,35.349,10
2009,10,20,10,26,34,3,-0.574,31.949,10
2009,10,20,18,42,4,3,-0.728,31.635,10
2009,10,21,15,30,40,4.8,-4.4105,34.7459,10
2009,10,21,18,33,33,4.2,-4.972,35.0427,10
2009,10,24,0,2,46,3.5,-3.912,34.888,10
2009,10,24,9,55,49,4.5,-3.766,35.846,10
2009,10,24,16,1,14,4.1,-4.199,34.94,10
2009,10,24,16,21,43,4.3,-3.9908,34.7804,22
2009,10,24,16,42,28,3.8,-3.857,34.812,10
2009,10,25,7,53,44,4.2,-4.101,34.8183,22
2009,10,25,16,13,1,4.2,-6.578,35.885,10
2009,10,26,1,39,27,4.6,-3.9841,34.8123,22
2009,10,26,2,8,57,4.5,-6.8042,35.8519,10
2009,10,26,2,17,17,3.6,-3.17,34.775,10
2009,10,27,11,45,5,3.9,-5.4732,35.8533,9
2009,10,27,22,0,17,3.2,-3.089,30.502,10
2009,10,29,7,8,25,3.9,-4.241,34.923,10
2009,10,29,7,43,2,3.2,-3.9946,34.8568,22
2009,10,29,8,45,36,3.8,-3.9735,35.6079,10
2009,10,30,18,0,52,3.5,-3.9429,34.7678,22
2009,11,1,0,27,4,4.1,-3.783,34.846,10
2009,11,1,8,52,39,4.7,-8.97,32.64,0
2009,11,1,15,40,41,3.8,-3.9897,34.7532,22
2009,11,2,3,8,47,3.4,-2.798,28.835,5
2009,11,2,6,31,57,3,-0.597,31.827,10
2009,11,2,7,12,21,3.1,-0.014,31.612,10
2009,11,2,11,46,47,3.2,-0.213,32.001,10
2009,11,4,20,59,57,3.6,-3.3735,28.658,0
2009,11,5,4,10,38,4.2,-10.1351,33.84,8.25
2009,11,8,17,14,4,3.7,-8.8469,32.7042,10
2009,11,12,19,23,15,4.2,-9.7979,33.8104,7
2009,11,12,19,25,8,4,-10.0304,33.8989,10
2009,11,13,18,40,3,3.7,-8.8021,32.8977,10
2009,11,14,4,47,4,5.4,-6.8606,29.8471,18
2009,11,14,4,50,18,5.3,-6.78,29.82,13
2009,11,14,5,9,36,3.8,-6.9361,29.7996,10
2009,11,14,9,46,45,3.7,-6.946,30.2342,10
2009,11,17,6,12,28,3.7,-6.8266,29.8981,0
2009,11,22,20,39,9,4.1,-10.11,33.811,10
2009,11,22,20,54,9,3.9,-9.9956,33.866,10
